mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0000144.png,0.896104,0.811765,0.835351,0.966387,4.123106,0.965615
zoom_out,IMG0000151.png,0.767368,0.622544,0.843137,0.704094,6.708204,0.900271
zoom_out,IMG0000453.png,0.890027,0.801846,0.943770,0.842075,6.225835,0.954677
zoom_out,IMG0000454.png,0.789212,0.651817,0.805021,0.774011,12.259644,0.965554
zoom_out,IMG0001123.png,0.891737,0.804626,0.885219,0.898352,5.966190,0.962706
zoom_out,IMG0001360.png,0.915511,0.844186,0.939603,0.892623,4.000000,0.980410
zoom_out,IMG0001980.png,0.862565,0.758342,0.844595,0.881316,7.000000,0.926395
zoom_out,IMG0002021.png,0.920816,0.853253,0.870370,0.977470,3.000000,0.970692
zoom_out,IMG0002180.png,0.617889,0.447062,0.919276,0.465329,29.563181,0.907368
zoom_out,IMG0002300.png,0.761857,0.615322,0.661700,0.897741,6.817063,0.969281
zoom_out,IMG0002305.png,0.848172,0.736370,0.756715,0.964775,5.000000,0.967793
zoom_out,IMG0002309.png,0.815789,0.688889,0.762920,0.876532,10.965549,0.927742
zoom_out,IMG0002320.png,0.851884,0.741984,0.877425,0.827787,7.141085,0.938029
zoom_out,IMG0002333.png,0.838778,0.722323,0.816410,0.862405,7.928312,0.932546
zoom_out,IMG0002345.png,0.773998,0.631319,0.763963,0.784300,8.425514,0.927441
zoom_out,IMG0002357.png,0.737018,0.583554,0.656716,0.839695,4.288540,0.951875
zoom_out,IMG0002363.png,0.927027,0.863980,0.987050,0.873885,3.000000,0.986884
zoom_out,IMG0002376.png,0.869333,0.768868,0.791262,0.964497,2.000000,0.966922
zoom_out,IMG0002381.png,0.772918,0.629883,0.759717,0.786585,10.374080,0.937350
zoom_out,IMG0002384.png,0.716381,0.558095,0.632283,0.826283,12.741480,0.951622
zoom_out,IMG0002402.png,0.764195,0.618378,0.673734,0.882716,8.135839,0.982457
zoom_out,IMG0002416.png,0.877470,0.781690,0.847328,0.909836,2.000000,0.979429
zoom_out,IMG0002426.png,0.852941,0.743590,0.761337,0.969605,3.383914,0.941888
zoom_out,IMG0002437.png,0.836167,0.718459,0.778417,0.903172,4.472136,0.969254
zoom_out,IMG0002451.png,0.742922,0.590991,0.622391,0.921348,6.884218,0.901425
zoom_out,IMG0002456.png,0.941341,0.889182,0.920765,0.962857,1.414214,0.978765
zoom_out,IMG0002460.png,0.926796,0.863578,0.910448,0.943741,3.000000,0.970989
zoom_out,IMG0002470.png,0.860902,0.755776,0.785143,0.952843,5.880312,0.943109
zoom_out,IMG0002475.png,0.765581,0.620196,0.768919,0.762272,15.630092,0.961657
zoom_out,IMG0002484.png,0.899543,0.817427,0.840982,0.966871,3.605551,0.981528
zoom_out,IMG0002494.png,0.749220,0.599002,0.604027,0.986301,6.000000,0.988841
zoom_out,IMG0002500.png,0.843703,0.729659,0.876972,0.812865,4.051514,0.948162
zoom_out,IMG0002501.png,0.832877,0.713615,0.754342,0.929664,5.000000,0.970180
zoom_out,IMG0002502.png,0.871166,0.771739,0.794183,0.964674,3.105480,0.984549
zoom_out,IMG0002508.png,0.835490,0.717460,0.747725,0.946597,3.162278,0.944730
zoom_out,IMG0002515.png,0.770887,0.627190,0.651383,0.944093,11.000000,0.967736
zoom_out,IMG0002517.png,0.810066,0.680765,0.866667,0.760405,7.144233,0.987955
zoom_out,IMG0002518.png,0.645062,0.476082,0.513093,0.868421,12.369317,0.973705
zoom_out,IMG0002519.png,0.733769,0.579491,0.627890,0.882600,13.589515,0.921196
zoom_out,IMG0002522.png,0.856820,0.749506,0.823708,0.892706,7.255957,0.977203
zoom_out,IMG0002523.png,0.690194,0.526943,0.617495,0.782295,15.063131,0.936057
zoom_out,IMG0002533.png,0.782869,0.643208,0.703041,0.883146,5.830952,0.953578
zoom_out,IMG0002568.png,0.870259,0.770318,0.850455,0.891008,3.000000,0.987544
zoom_out,IMG0002577.png,0.827505,0.705764,0.736879,0.943548,6.708204,0.992510
zoom_out,IMG0002579.png,0.841166,0.725873,0.807078,0.878261,6.000000,0.937441
zoom_out,IMG0002582.png,0.838095,0.721311,0.814815,0.862745,4.736068,0.951830
zoom_out,IMG0002584.png,0.767204,0.622328,0.637470,0.963235,6.070172,0.953526
zoom_out,IMG0002594.png,0.881188,0.787611,0.794643,0.988889,2.579899,0.979651
zoom_out,IMG0002595.png,0.757409,0.609541,0.659656,0.889175,9.984677,0.969177
zoom_out,IMG0002745.png,0.863520,0.759820,0.790888,0.950843,5.000000,0.987315
zoom_out,IMG0002934.png,0.938377,0.883908,0.966080,0.912218,3.000000,0.993138
zoom_out,IMG0003146.png,0.788468,0.650803,0.893061,0.705806,14.599751,0.986725
zoom_out,IMG0003147.png,0.904348,0.825397,0.933702,0.876783,7.420804,0.982537
zoom_out,IMG0003157.png,0.790323,0.653333,0.707581,0.894977,2.948528,0.920085
zoom_out,IMG0003218.png,0.890088,0.801944,0.884718,0.895522,3.783053,0.953728
zoom_out,IMG0003264.png,0.817064,0.690709,0.779310,0.858663,9.609772,0.915086
zoom_out,IMG0003309.png,0.675920,0.510483,0.563948,0.843373,10.579968,0.948381
zoom_out,IMG0003395.png,0.792646,0.656514,0.691622,0.928230,3.583388,0.977997
zoom_out,IMG0003458.png,0.625367,0.454934,0.549484,0.725568,24.909453,0.954830
zoom_out,IMG0003586.png,0.797015,0.662531,0.689922,0.943463,10.009975,0.961492
zoom_out,IMG0003703.png,0.809969,0.680628,0.737589,0.898100,7.332504,0.970762
zoom_out,IMG0003713.png,0.863208,0.759336,0.759336,1.000000,2.532248,0.966532
zoom_out,IMG0003734.png,0.801431,0.668657,0.695652,0.945148,5.000000,0.952241
zoom_out,IMG0003767.png,0.778526,0.637366,0.766381,0.791063,8.910077,0.979936
zoom_out,IMG0003810.png,0.679739,0.514852,0.516556,0.993631,5.731481,0.918189
zoom_out,IMG0003942.png,0.904797,0.826146,0.867044,0.945988,2.888478,0.957661
zoom_out,IMG0003952.png,0.652406,0.484127,0.486702,0.989189,6.365811,0.968701
zoom_out,IMG0003953.png,0.924804,0.860125,0.969412,0.884120,2.739573,0.985159
zoom_out,IMG0004044.png,0.810742,0.681720,0.717195,0.932353,5.385165,0.946771
zoom_out,IMG0004114.png,0.901834,0.821217,0.842121,0.970660,10.686098,0.984525
zoom_out,IMG0004233.png,0.675159,0.509615,0.597744,0.775610,29.477860,0.788836
zoom_out,IMG0004376.png,0.914894,0.843137,0.966292,0.868687,2.236068,0.992126
shift,IMG0000144.png,0.817528,0.691372,0.766871,0.875350,5.682969,0.910796
shift,IMG0000151.png,0.737299,0.583906,0.783926,0.695906,8.944272,0.829963
shift,IMG0000453.png,0.876762,0.780566,0.924731,0.833523,7.000000,0.930370
shift,IMG0000454.png,0.742019,0.589849,0.743934,0.740113,16.111528,0.892637
shift,IMG0001123.png,0.815682,0.688736,0.808419,0.823077,7.662185,0.938747
shift,IMG0001360.png,0.889170,0.800455,0.915004,0.864754,3.605551,0.957228
shift,IMG0001980.png,0.786555,0.648199,0.751606,0.824912,7.981025,0.894435
shift,IMG0002021.png,0.826337,0.704067,0.786834,0.870017,5.000000,0.905463
shift,IMG0002180.png,0.579551,0.408005,0.756886,0.469539,29.610676,0.842417
shift,IMG0002300.png,0.769770,0.625712,0.664650,0.914388,6.362920,0.973701
shift,IMG0002305.png,0.812389,0.684054,0.741519,0.898239,5.385165,0.923411
shift,IMG0002309.png,0.861582,0.756824,0.860771,0.862394,7.003553,0.968733
shift,IMG0002320.png,0.869682,0.769414,0.941804,0.807820,8.154234,0.985404
shift,IMG0002333.png,0.782518,0.642735,0.752753,0.814735,10.654822,0.895702
shift,IMG0002345.png,0.773847,0.631118,0.760461,0.787713,8.062258,0.923370
shift,IMG0002357.png,0.668810,0.502415,0.577778,0.793893,6.403124,0.874176
shift,IMG0002363.png,0.908108,0.831683,0.966906,0.856051,3.250932,0.959373
shift,IMG0002376.png,0.852632,0.743119,0.767772,0.958580,3.000000,0.918908
shift,IMG0002381.png,0.742999,0.591089,0.758577,0.728049,15.045290,0.871910
shift,IMG0002384.png,0.809478,0.679936,0.703119,0.953751,9.525522,0.983085
shift,IMG0002402.png,0.728202,0.572576,0.651829,0.824846,10.000000,0.987133
shift,IMG0002416.png,0.796574,0.661922,0.834081,0.762295,2.828427,0.899025
shift,IMG0002426.png,0.823848,0.700461,0.743276,0.924012,4.472136,0.896390
shift,IMG0002437.png,0.873217,0.774965,0.831071,0.919866,4.472136,0.947631
shift,IMG0002451.png,0.647120,0.478328,0.515860,0.867977,9.000000,0.826606
shift,IMG0002456.png,0.898305,0.815385,0.888268,0.908571,2.236068,0.950201
shift,IMG0002460.png,0.800000,0.666667,0.790123,0.810127,6.636904,0.906634
shift,IMG0002470.png,0.724618,0.568158,0.694656,0.757282,9.072692,0.856158
shift,IMG0002475.png,0.656491,0.488639,0.642984,0.670577,19.820004,0.979253
shift,IMG0002484.png,0.870748,0.771084,0.809273,0.942331,5.000000,0.951060
shift,IMG0002494.png,0.749727,0.599650,0.623636,0.939726,5.385165,0.936482
shift,IMG0002500.png,0.798151,0.664103,0.843648,0.757310,6.179243,0.897855
shift,IMG0002501.png,0.837017,0.719715,0.763224,0.926606,5.000000,0.972899
shift,IMG0002502.png,0.848408,0.736726,0.798561,0.904891,3.000000,0.944534
shift,IMG0002508.png,0.789254,0.651875,0.707641,0.892147,4.242641,0.946090
shift,IMG0002515.png,0.783951,0.644670,0.673485,0.937764,9.337485,0.967726
shift,IMG0002517.png,0.740036,0.587347,0.785354,0.699663,9.589998,0.910465
shift,IMG0002518.png,0.603966,0.432630,0.511026,0.738227,12.499315,0.896675
shift,IMG0002519.png,0.686081,0.522164,0.580014,0.839623,18.419170,0.892515
shift,IMG0002522.png,0.763833,0.617904,0.731581,0.799059,15.911474,0.901863
shift,IMG0002523.png,0.662694,0.495544,0.607318,0.729180,16.495174,0.957460
shift,IMG0002533.png,0.739593,0.586790,0.649660,0.858427,8.049657,0.906420
shift,IMG0002568.png,0.830892,0.710706,0.812500,0.850136,4.403287,0.988932
shift,IMG0002577.png,0.816991,0.690604,0.733428,0.922043,5.000000,0.995539
shift,IMG0002579.png,0.893262,0.807112,0.858945,0.930435,4.472136,0.985442
shift,IMG0002582.png,0.839657,0.723629,0.838631,0.840686,5.000000,0.936870
shift,IMG0002584.png,0.710490,0.550976,0.573363,0.933824,8.544004,0.880537
shift,IMG0002594.png,0.855721,0.747826,0.774775,0.955556,3.383914,0.933191
shift,IMG0002595.png,0.708991,0.549175,0.655248,0.772337,21.852047,0.869626
shift,IMG0002745.png,0.791423,0.654839,0.736397,0.855337,5.453087,0.993295
shift,IMG0002934.png,0.884058,0.792208,0.900369,0.868327,5.000000,0.939531
shift,IMG0003146.png,0.724066,0.567480,0.780179,0.675484,18.471296,0.899416
shift,IMG0003147.png,0.708940,0.549114,0.761161,0.663424,14.866069,0.896637
shift,IMG0003157.png,0.801619,0.668919,0.720000,0.904110,3.000000,0.915979
shift,IMG0003218.png,0.885073,0.793839,0.862291,0.909091,3.000000,0.942821
shift,IMG0003264.png,0.813803,0.686061,0.772169,0.860182,6.215749,0.960358
shift,IMG0003309.png,0.594329,0.422808,0.465812,0.820783,16.178522,0.870360
shift,IMG0003395.png,0.777096,0.635451,0.678571,0.909091,5.385165,0.964594
shift,IMG0003458.png,0.687531,0.523846,0.614593,0.780114,17.057205,0.987921
shift,IMG0003586.png,0.795753,0.660789,0.697077,0.926973,6.324555,0.994845
shift,IMG0003703.png,0.751623,0.602081,0.709035,0.799655,9.579188,0.915812
shift,IMG0003713.png,0.847458,0.735294,0.760870,0.956284,2.000000,0.933511
shift,IMG0003734.png,0.802260,0.669811,0.724490,0.898734,4.242641,0.943866
shift,IMG0003767.png,0.746400,0.595405,0.775033,0.719807,9.412537,0.967959
shift,IMG0003810.png,0.656587,0.488746,0.496732,0.968153,7.810250,0.835782
shift,IMG0003942.png,0.805310,0.674074,0.771186,0.842593,5.717788,0.890303
shift,IMG0003952.png,0.674242,0.508571,0.518950,0.962162,5.000000,0.935192
shift,IMG0003953.png,0.802286,0.669847,0.858191,0.753219,5.000000,0.895305
shift,IMG0004044.png,0.768080,0.623482,0.666667,0.905882,6.708204,0.883636
shift,IMG0004114.png,0.819973,0.694876,0.720021,0.952148,20.808652,0.902518
shift,IMG0004233.png,0.602972,0.431611,0.533835,0.692683,31.616345,0.616302
shift,IMG0004376.png,0.854922,0.746606,0.877660,0.833333,3.000000,0.937024
