mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0000144.png,0.894401,0.808974,0.905308,0.883753,4.121320,0.964187
zoom_out,IMG0000151.png,0.852251,0.742541,0.930748,0.785965,3.605551,0.955593
zoom_out,IMG0000453.png,0.862458,0.758176,0.852843,0.872292,6.631474,0.936284
zoom_out,IMG0000454.png,0.799211,0.665571,0.697132,0.936312,11.119599,0.968457
zoom_out,IMG0001123.png,0.807038,0.676500,0.882583,0.743407,8.062258,0.956976
zoom_out,IMG0001360.png,0.881924,0.788786,0.926059,0.841803,5.588932,0.967350
zoom_out,IMG0001980.png,0.814077,0.686450,0.935878,0.720329,7.071068,0.966455
zoom_out,IMG0002021.png,0.883797,0.791789,0.837209,0.935875,3.583388,0.939594
zoom_out,IMG0002180.png,0.817551,0.691405,0.832777,0.802873,18.959060,0.962545
zoom_out,IMG0002300.png,0.801959,0.669391,0.739218,0.876338,4.242641,0.964678
zoom_out,IMG0002305.png,0.820044,0.694978,0.739199,0.920744,7.810250,0.948128
zoom_out,IMG0002309.png,0.855717,0.747819,0.825022,0.888784,9.379918,0.945690
zoom_out,IMG0002320.png,0.808459,0.678498,0.790772,0.826955,10.429436,0.902939
zoom_out,IMG0002333.png,0.820339,0.695402,0.857143,0.786566,6.689022,0.929629
zoom_out,IMG0002345.png,0.619369,0.448613,0.665100,0.579522,12.481234,0.902894
zoom_out,IMG0002357.png,0.748503,0.598086,0.615764,0.954198,5.385165,0.963394
zoom_out,IMG0002363.png,0.905059,0.826582,0.992401,0.831847,4.000000,0.988467
zoom_out,IMG0002376.png,0.896552,0.812500,0.871508,0.923077,1.414214,0.958305
zoom_out,IMG0002381.png,0.773931,0.631229,0.664336,0.926829,8.544004,0.968847
zoom_out,IMG0002384.png,0.769998,0.626013,0.664754,0.914834,14.458894,0.960709
zoom_out,IMG0002402.png,0.739117,0.586190,0.622035,0.910494,13.967351,0.939438
zoom_out,IMG0002416.png,0.876866,0.780731,0.804795,0.963115,2.295304,0.968090
zoom_out,IMG0002426.png,0.904832,0.826203,0.872881,0.939210,2.000000,0.946039
zoom_out,IMG0002437.png,0.859935,0.754286,0.839428,0.881469,3.000000,0.971095
zoom_out,IMG0002451.png,0.730650,0.575610,0.577488,0.994382,6.708204,0.973048
zoom_out,IMG0002456.png,0.922006,0.855297,0.899457,0.945714,2.845120,0.958405
zoom_out,IMG0002460.png,0.916031,0.845070,0.904110,0.928270,2.845120,0.980899
zoom_out,IMG0002470.png,0.826189,0.703851,0.943061,0.735090,5.385165,0.947007
zoom_out,IMG0002475.png,0.715766,0.557349,0.641095,0.810127,18.357560,0.894270
zoom_out,IMG0002484.png,0.928962,0.867347,0.919471,0.938650,3.032456,0.983094
zoom_out,IMG0002494.png,0.682881,0.518466,0.518466,1.000000,8.062258,0.969164
zoom_out,IMG0002500.png,0.872077,0.773171,0.823377,0.926901,3.162278,0.969392
zoom_out,IMG0002501.png,0.855237,0.747086,0.758580,0.980122,5.804837,0.971816
zoom_out,IMG0002502.png,0.874116,0.776382,0.911504,0.839674,3.000000,0.972063
zoom_out,IMG0002508.png,0.839024,0.722689,0.785388,0.900524,4.000000,0.950703
zoom_out,IMG0002515.png,0.820236,0.695254,0.767463,0.880802,5.656854,0.981476
zoom_out,IMG0002517.png,0.829118,0.708114,0.918033,0.755906,7.120080,0.962640
zoom_out,IMG0002518.png,0.646384,0.477524,0.505066,0.897507,12.369317,0.968757
zoom_out,IMG0002519.png,0.753431,0.604403,0.652107,0.892034,9.000000,0.953926
