mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0000144.png,0.833922,0.715151,0.719512,0.991597,5.000000,0.986011
zoom_out,IMG0000151.png,0.824069,0.700781,0.730561,0.945029,7.071068,0.959984
zoom_out,IMG0000453.png,0.906659,0.829255,0.925223,0.888826,5.656854,0.964510
zoom_out,IMG0000454.png,0.723094,0.566286,0.568282,0.993837,13.000000,0.974863
zoom_out,IMG0001123.png,0.868959,0.768282,0.772552,0.992857,5.308132,0.990371
zoom_out,IMG0001360.png,0.863799,0.760252,0.767516,0.987705,6.000000,0.974075
zoom_out,IMG0001980.png,0.867804,0.766478,0.794146,0.956522,7.000000,0.946173
zoom_out,IMG0002021.png,0.845516,0.732376,0.748000,0.972270,4.000000,0.965371
zoom_out,IMG0002180.png,0.555242,0.384315,0.384315,1.000000,32.562643,0.955167
zoom_out,IMG0002300.png,0.713393,0.554476,0.571122,0.950059,8.365746,0.977433
zoom_out,IMG0002305.png,0.614102,0.443108,0.476037,0.864971,19.917188,0.863066
zoom_out,IMG0002309.png,0.780702,0.640288,0.676572,0.922714,11.401754,0.917155
zoom_out,IMG0002320.png,0.794461,0.659008,0.706874,0.906822,13.324884,0.924034
zoom_out,IMG0002333.png,0.843454,0.729286,0.750211,0.963164,7.218003,0.964068
zoom_out,IMG0002345.png,0.723229,0.566451,0.636175,0.837884,14.810384,0.903547
zoom_out,IMG0002357.png,0.685560,0.521561,0.530271,0.969466,7.413438,0.943473
zoom_out,IMG0002363.png,0.886308,0.795829,0.851939,0.923567,3.162278,0.964418
zoom_out,IMG0002376.png,0.748879,0.598566,0.602888,0.988166,3.605551,0.956319
zoom_out,IMG0002381.png,0.731112,0.576183,0.594203,0.950000,10.295630,0.977035
zoom_out,IMG0002384.png,0.694152,0.531572,0.553506,0.930626,15.250357,0.949172
zoom_out,IMG0002402.png,0.680214,0.515397,0.520458,0.981481,13.434914,0.959610
zoom_out,IMG0002416.png,0.789560,0.652291,0.655827,0.991803,4.000000,0.939636
zoom_out,IMG0002426.png,0.876011,0.779377,0.786925,0.987842,2.000000,0.999343
zoom_out,IMG0002437.png,0.811413,0.682670,0.695704,0.973289,6.324555,0.982430
