mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0000144.png,0.828116,0.706653,0.716037,0.981793,7.986655,0.943905
zoom_out,IMG0000151.png,0.793280,0.657386,0.659938,0.994152,7.092073,0.967902
zoom_out,IMG0000453.png,0.905058,0.826580,0.940381,0.872292,5.000000,0.996580
zoom_out,IMG0000454.png,0.799173,0.665519,0.723077,0.893169,10.198039,0.942470
zoom_out,IMG0001123.png,0.890760,0.803037,0.811006,0.987912,6.276197,0.980720
zoom_out,IMG0001360.png,0.905082,0.826621,0.831731,0.992623,4.018466,0.987434
zoom_out,IMG0001980.png,0.881907,0.788760,0.818090,0.956522,6.000000,0.956627
zoom_out,IMG0002021.png,0.898481,0.815675,0.833828,0.974003,3.162278,0.961339
zoom_out,IMG0002180.png,0.661109,0.493774,0.543167,0.844477,23.345235,0.883912
zoom_out,IMG0002300.png,0.757001,0.609012,0.610342,0.996433,6.708204,0.991860
zoom_out,IMG0002305.png,0.692496,0.529632,0.538253,0.970646,13.497978,0.926153
zoom_out,IMG0002309.png,0.789602,0.652349,0.693790,0.916117,12.020797,0.921258
zoom_out,IMG0002320.png,0.802655,0.670362,0.691752,0.955907,12.529964,0.920988
zoom_out,IMG0002333.png,0.839980,0.724108,0.786389,0.901408,9.577339,0.911840
zoom_out,IMG0002345.png,0.720586,0.563216,0.631322,0.839249,12.083046,0.895543
zoom_out,IMG0002357.png,0.658793,0.491194,0.502000,0.958015,7.211103,0.971985
zoom_out,IMG0002363.png,0.913507,0.840785,0.853821,0.982166,2.828427,0.985812
zoom_out,IMG0002376.png,0.822917,0.699115,0.734884,0.934911,4.000000,0.906748
zoom_out,IMG0002381.png,0.710860,0.551422,0.578424,0.921951,8.904245,0.986538
zoom_out,IMG0002384.png,0.758483,0.610932,0.625000,0.964467,12.727922,0.952985
zoom_out,IMG0002402.png,0.703023,0.542048,0.554614,0.959877,11.220350,0.933316
zoom_out,IMG0002416.png,0.833006,0.713805,0.800000,0.868852,3.064911,0.926935
zoom_out,IMG0002426.png,0.850767,0.740291,0.786082,0.927052,4.000000,0.921696
zoom_out,IMG0002437.png,0.767547,0.622780,0.624738,0.994992,8.944272,0.929639
zoom_out,IMG0002451.png,0.663543,0.496494,0.497890,0.994382,9.620676,0.945680
zoom_out,IMG0002456.png,0.842510,0.727876,0.763341,0.940000,3.605551,0.924405
zoom_out,IMG0002460.png,0.872500,0.773836,0.785152,0.981716,5.000000,0.985563
zoom_out,IMG0002470.png,0.785833,0.647220,0.653775,0.984743,7.071068,0.950354
zoom_out,IMG0002475.png,0.696701,0.534568,0.543054,0.971596,15.000000,0.932190
zoom_out,IMG0002484.png,0.868871,0.768145,0.811502,0.934969,4.188850,0.963010
zoom_out,IMG0002494.png,0.676692,0.511364,0.515021,0.986301,6.032456,0.973164
zoom_out,IMG0002500.png,0.822768,0.698901,0.737819,0.929825,4.841641,0.912502
zoom_out,IMG0002501.png,0.795181,0.660000,0.679307,0.958716,6.387410,0.961617
zoom_out,IMG0002502.png,0.784483,0.645390,0.650000,0.989130,5.000000,0.966753
zoom_out,IMG0002508.png,0.765196,0.619690,0.635107,0.962304,5.000000,0.933521
zoom_out,IMG0002515.png,0.683980,0.519733,0.523516,0.986287,13.549509,0.980232
zoom_out,IMG0002517.png,0.836520,0.718981,0.727348,0.984252,6.403124,0.989370
zoom_out,IMG0002518.png,0.548638,0.378016,0.381494,0.976454,13.601471,0.978581
zoom_out,IMG0002519.png,0.702087,0.540936,0.550268,0.969602,13.510538,0.930589
zoom_out,IMG0002522.png,0.735743,0.581957,0.624344,0.895529,22.440611,0.903454
zoom_out,IMG0002523.png,0.628004,0.457731,0.473090,0.933770,16.552945,0.991427
zoom_out,IMG0002533.png,0.783857,0.644543,0.652239,0.982022,5.616101,0.976084
zoom_out,IMG0002568.png,0.826062,0.703667,0.720812,0.967302,4.472136,0.950936
zoom_out,IMG0002577.png,0.760931,0.614115,0.627326,0.966846,6.324555,0.995469
zoom_out,IMG0002579.png,0.789216,0.651822,0.651822,1.000000,10.000000,0.932369
zoom_out,IMG0002582.png,0.807771,0.677530,0.692982,0.968137,7.071068,0.922888
zoom_out,IMG0002584.png,0.729252,0.573876,0.578834,0.985294,5.808663,0.971333
zoom_out,IMG0002594.png,0.756410,0.608247,0.614583,0.983333,5.000000,0.907203
zoom_out,IMG0002595.png,0.640271,0.470882,0.477234,0.972509,13.000000,0.952822
zoom_out,IMG0002745.png,0.784910,0.645968,0.655075,0.978933,5.000000,0.981512
zoom_out,IMG0002934.png,0.909703,0.834362,0.862766,0.962040,3.000000,0.981004
zoom_out,IMG0003146.png,0.752500,0.603206,0.614286,0.970968,16.124515,0.946969
zoom_out,IMG0003147.png,0.823305,0.699676,0.709526,0.980545,12.083046,0.981341
zoom_out,IMG0003157.png,0.829457,0.708609,0.720539,0.977169,3.709062,0.950518
zoom_out,IMG0003218.png,0.855972,0.748209,0.752832,0.991859,7.615773,0.950409
zoom_out,IMG0003264.png,0.822466,0.698465,0.714927,0.968085,8.952631,0.949969
