mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0000144.png,0.817544,0.691395,0.701807,0.978992,7.615773,0.939456
zoom_out,IMG0000151.png,0.895442,0.810680,0.826733,0.976608,3.605551,0.979422
zoom_out,IMG0000453.png,0.912450,0.838996,0.909864,0.915051,4.894427,0.966337
zoom_out,IMG0000454.png,0.806832,0.676211,0.789577,0.824859,10.072100,0.958350
zoom_out,IMG0001123.png,0.864748,0.761724,0.767234,0.990659,7.071068,0.969825
zoom_out,IMG0001360.png,0.893443,0.807407,0.818989,0.982787,5.000000,0.971184
zoom_out,IMG0001980.png,0.884842,0.793468,0.812992,0.970623,6.708204,0.964970
zoom_out,IMG0002021.png,0.860778,0.755585,0.757576,0.996534,4.357388,0.965126
zoom_out,IMG0002180.png,0.841565,0.726466,0.796112,0.892521,11.180340,0.971448
zoom_out,IMG0002300.png,0.750449,0.600575,0.602740,0.994055,8.062258,0.979856
zoom_out,IMG0002305.png,0.713031,0.554039,0.556164,0.993151,13.520155,0.933267
zoom_out,IMG0002309.png,0.792927,0.656901,0.679919,0.950990,13.764929,0.922346
zoom_out,IMG0002320.png,0.817031,0.690661,0.758007,0.886023,9.848858,0.908603
zoom_out,IMG0002333.png,0.840704,0.725185,0.749153,0.957747,10.770330,0.915736
zoom_out,IMG0002345.png,0.771477,0.627972,0.708013,0.847440,9.916872,0.923581
zoom_out,IMG0002357.png,0.638021,0.468451,0.484190,0.935115,7.615773,0.952997
zoom_out,IMG0002363.png,0.891455,0.804167,0.815206,0.983440,3.137936,0.971530
zoom_out,IMG0002376.png,0.793269,0.657371,0.668016,0.976331,4.000000,0.912620
zoom_out,IMG0002381.png,0.691830,0.528853,0.543994,0.950000,11.036836,0.966280
zoom_out,IMG0002384.png,0.721955,0.564891,0.573325,0.974619,14.016051,0.956815
zoom_out,IMG0002402.png,0.677207,0.511952,0.514206,0.991512,12.041595,0.946303
zoom_out,IMG0002416.png,0.832765,0.713450,0.713450,1.000000,4.123106,0.944931
zoom_out,IMG0002426.png,0.817010,0.690632,0.709172,0.963526,4.000000,0.915928
zoom_out,IMG0002437.png,0.781518,0.641387,0.646288,0.988314,8.375393,0.939099
zoom_out,IMG0002451.png,0.656045,0.488145,0.492264,0.983146,8.593577,0.934311
zoom_out,IMG0002456.png,0.828358,0.707006,0.733480,0.951429,4.123106,0.921799
zoom_out,IMG0002460.png,0.853865,0.744995,0.748148,0.994374,5.000000,0.992381
zoom_out,IMG0002470.png,0.787340,0.649267,0.656482,0.983356,7.810250,0.965091
zoom_out,IMG0002475.png,0.739590,0.586785,0.640660,0.874653,13.036485,0.981579
zoom_out,IMG0002484.png,0.857761,0.750947,0.766925,0.973006,5.000000,0.961864
zoom_out,IMG0002494.png,0.660567,0.493169,0.495879,0.989041,7.211103,0.955547
zoom_out,IMG0002500.png,0.812968,0.684874,0.708696,0.953216,5.000000,0.911519
zoom_out,IMG0002501.png,0.804008,0.672251,0.680806,0.981651,6.647188,0.965991
zoom_out,IMG0002502.png,0.778610,0.637478,0.641975,0.989130,5.000000,0.952598
zoom_out,IMG0002508.png,0.747791,0.597178,0.606515,0.974869,5.830952,0.927824
zoom_out,IMG0002515.png,0.664727,0.497821,0.507214,0.964135,16.086673,0.958446
zoom_out,IMG0002517.png,0.819517,0.694221,0.707856,0.973003,7.280110,0.987561
zoom_out,IMG0002518.png,0.534503,0.364724,0.368753,0.970914,13.416408,0.969969
zoom_out,IMG0002519.png,0.708687,0.548811,0.576594,0.919287,11.324809,0.988405
zoom_out,IMG0002522.png,0.765818,0.620507,0.759963,0.771765,11.180340,0.998234
zoom_out,IMG0002523.png,0.657399,0.489646,0.499489,0.961311,14.238366,0.994349
zoom_out,IMG0002533.png,0.776682,0.634897,0.646269,0.973034,5.830952,0.959644
zoom_out,IMG0002568.png,0.818546,0.692829,0.705824,0.974114,4.367427,0.978163
zoom_out,IMG0002577.png,0.776162,0.634203,0.642396,0.980287,7.000000,0.999405
zoom_out,IMG0002579.png,0.849785,0.738806,0.747875,0.983851,8.261101,0.925498
zoom_out,IMG0002582.png,0.819672,0.694444,0.704225,0.980392,6.403124,0.947885
zoom_out,IMG0002584.png,0.705263,0.544715,0.549180,0.985294,6.359911,0.953185
zoom_out,IMG0002594.png,0.671698,0.505682,0.508571,0.988889,5.813542,0.911222
zoom_out,IMG0002595.png,0.738900,0.585917,0.601402,0.957904,8.485281,0.985814
zoom_out,IMG0002745.png,0.762060,0.615587,0.620477,0.987360,5.000000,0.985356
zoom_out,IMG0002934.png,0.880383,0.786325,0.797688,0.982206,4.000000,0.980684
zoom_out,IMG0003146.png,0.791150,0.654466,0.728804,0.865161,14.142136,0.907426
