mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0000144.png,0.804517,0.672963,0.810811,0.798319,7.162090,0.901437
zoom_out,IMG0000151.png,0.598071,0.426605,0.956298,0.435088,18.000000,0.922596
zoom_out,IMG0000453.png,0.828043,0.706547,0.802568,0.855188,7.000000,0.939448
zoom_out,IMG0000454.png,0.802079,0.669559,0.716015,0.911659,11.991060,0.961147
zoom_out,IMG0001123.png,0.871053,0.771562,0.835859,0.909341,8.388225,0.958014
zoom_out,IMG0001360.png,0.911575,0.837517,0.848763,0.984426,6.000000,0.970156
zoom_out,IMG0001980.png,0.861538,0.756757,0.764331,0.987074,7.000000,0.960240
zoom_out,IMG0002021.png,0.851660,0.741645,0.741645,1.000000,5.385165,0.972271
zoom_out,IMG0002180.png,0.512022,0.344106,0.809422,0.374443,25.475471,0.828031
zoom_out,IMG0002300.png,0.715984,0.557613,0.568531,0.966706,6.494648,0.965552
zoom_out,IMG0002305.png,0.760054,0.612974,0.706129,0.822896,10.000000,0.887936
zoom_out,IMG0002309.png,0.799818,0.666413,0.774735,0.826579,5.856309,0.906028
zoom_out,IMG0002320.png,0.720450,0.563050,0.825806,0.638935,13.779272,0.961412
zoom_out,IMG0002333.png,0.765782,0.620460,0.662708,0.906826,11.648896,0.909622
zoom_out,IMG0002345.png,0.603367,0.432015,0.676708,0.544369,11.180340,0.874206
zoom_out,IMG0002357.png,0.589581,0.418018,0.441905,0.885496,7.873252,0.899924
zoom_out,IMG0002363.png,0.897909,0.814732,0.868014,0.929936,3.684441,0.961793
zoom_out,IMG0002376.png,0.701245,0.539936,0.539936,1.000000,5.099020,0.942081
zoom_out,IMG0002381.png,0.679620,0.514715,0.526070,0.959756,12.462926,0.966279
zoom_out,IMG0002384.png,0.745291,0.593995,0.600552,0.981951,13.967733,0.954341
zoom_out,IMG0002402.png,0.704643,0.543975,0.558465,0.954475,10.707247,0.910904
zoom_out,IMG0002416.png,0.676923,0.511628,0.513800,0.991803,5.054461,0.955598
zoom_out,IMG0002426.png,0.767795,0.623106,0.623106,1.000000,4.000000,0.970933
zoom_out,IMG0002437.png,0.760363,0.613375,0.621164,0.979967,8.351305,0.962606
zoom_out,IMG0002451.png,0.662791,0.495652,0.505917,0.960674,7.615773,0.959554
zoom_out,IMG0002456.png,0.828402,0.707071,0.707071,1.000000,3.605551,0.975235
zoom_out,IMG0002460.png,0.834118,0.715439,0.716886,0.997187,5.000000,0.972579
zoom_out,IMG0002470.png,0.754452,0.605719,0.617491,0.969487,13.453624,0.951074
zoom_out,IMG0002475.png,0.717355,0.559278,0.698770,0.736956,15.283986,0.965634
zoom_out,IMG0002484.png,0.855632,0.747689,0.751859,0.992638,4.816922,0.983698
zoom_out,IMG0002494.png,0.555911,0.384956,0.392334,0.953425,10.295630,0.909631
zoom_out,IMG0002500.png,0.783147,0.643585,0.679570,0.923977,5.256399,0.903520
zoom_out,IMG0002501.png,0.799741,0.666307,0.694038,0.943425,8.485281,0.938999
zoom_out,IMG0002502.png,0.739130,0.586207,0.596990,0.970109,7.582207,0.903399
zoom_out,IMG0002508.png,0.745562,0.594340,0.598101,0.989529,5.000000,0.922297
zoom_out,IMG0002515.png,0.714847,0.556235,0.569462,0.959916,13.464011,0.989705
zoom_out,IMG0002517.png,0.827292,0.705455,0.786221,0.872891,7.615773,0.967354
zoom_out,IMG0002518.png,0.560966,0.389821,0.395349,0.965374,16.752549,0.920903
zoom_out,IMG0002519.png,0.754797,0.606164,0.636233,0.927673,9.000000,0.949800
zoom_out,IMG0002522.png,0.845404,0.732207,0.834173,0.856941,7.071068,0.969650
zoom_out,IMG0002523.png,0.662878,0.495750,0.507307,0.956066,12.529964,0.981115
zoom_out,IMG0002533.png,0.768142,0.623563,0.633577,0.975281,8.062258,0.936602
zoom_out,IMG0002568.png,0.842040,0.727175,0.774600,0.922343,4.472136,0.969890
zoom_out,IMG0002577.png,0.747645,0.596991,0.598599,0.995520,8.000000,0.995327
zoom_out,IMG0002579.png,0.816199,0.689474,0.701160,0.976398,8.056032,0.934886
zoom_out,IMG0002582.png,0.816495,0.689895,0.704626,0.970588,5.880312,0.953640
zoom_out,IMG0002584.png,0.713715,0.554865,0.559499,0.985294,7.950000,0.948013
zoom_out,IMG0002594.png,0.810651,0.681592,0.867089,0.761111,2.236068,0.933135
zoom_out,IMG0002595.png,0.681105,0.516421,0.536597,0.932131,12.083046,0.956304
zoom_out,IMG0002745.png,0.691966,0.529013,0.533030,0.985955,11.851418,0.952207
zoom_out,IMG0002934.png,0.903918,0.824682,0.825490,0.998814,3.056797,0.995111
zoom_out,IMG0003146.png,0.797921,0.663784,0.803665,0.792258,13.448042,0.920006
zoom_out,IMG0003147.png,0.767106,0.622199,0.760025,0.774319,9.433981,0.918063
zoom_out,IMG0003157.png,0.520270,0.351598,1.000000,0.351598,7.071068,0.894976
zoom_out,IMG0003218.png,0.851981,0.742132,0.746680,0.991859,6.252017,0.948163
zoom_out,IMG0003264.png,0.763658,0.617675,0.626706,0.977204,10.563702,0.923194
zoom_out,IMG0003309.png,0.654506,0.486443,0.508333,0.918675,13.329058,0.874491
zoom_out,IMG0003395.png,0.631661,0.461627,0.469697,0.964115,8.062258,0.880231
zoom_out,IMG0003458.png,0.611262,0.440156,0.650224,0.576705,21.151781,0.906402
zoom_out,IMG0003586.png,0.718696,0.560910,0.565071,0.987044,11.036289,0.961765
zoom_out,IMG0003703.png,0.727025,0.571123,0.600000,0.922280,9.391094,0.939830
zoom_out,IMG0003713.png,0.572770,0.401316,0.401316,1.000000,8.824191,0.834930
zoom_out,IMG0003734.png,0.622340,0.451737,0.454369,0.987342,7.711830,0.908417
zoom_out,IMG0003767.png,0.743474,0.591689,0.607718,0.957327,12.513899,0.985999
zoom_out,IMG0003810.png,0.551845,0.381068,0.381068,1.000000,7.662413,0.912715
zoom_out,IMG0003942.png,0.806595,0.675877,0.684607,0.981481,5.327936,0.967655
zoom_out,IMG0003952.png,0.521862,0.353053,0.353053,1.000000,8.485281,0.929051
zoom_out,IMG0003953.png,0.881874,0.788707,0.839147,0.929185,3.162278,0.928067
zoom_out,IMG0004044.png,0.761688,0.615101,0.621974,0.982353,7.280110,0.954797
zoom_out,IMG0004114.png,0.874220,0.776546,0.790127,0.978344,12.864374,0.949781
zoom_out,IMG0004233.png,0.510402,0.342644,0.356589,0.897561,11.738389,0.715084
zoom_out,IMG0004376.png,0.822785,0.698925,0.706522,0.984848,4.000000,0.977587
shift,IMG0000144.png,0.675524,0.510032,0.674581,0.676471,11.016681,0.816984
shift,IMG0000151.png,0.621495,0.450847,0.930070,0.466667,10.049876,0.949750
