mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0000144.png,0.847314,0.735079,0.744433,0.983193,5.830952,0.983165
zoom_out,IMG0000151.png,0.683014,0.518619,0.698898,0.667836,10.995835,0.891750
zoom_out,IMG0000453.png,0.850285,0.739561,0.751202,0.979475,9.000000,0.938533
zoom_out,IMG0000454.png,0.773933,0.631233,0.659551,0.936312,12.369317,0.928744
zoom_out,IMG0001123.png,0.874845,0.777533,0.796840,0.969780,7.962050,0.977828
zoom_out,IMG0001360.png,0.843816,0.729829,0.741615,0.978689,7.280110,0.963215
zoom_out,IMG0001980.png,0.836588,0.719081,0.743379,0.956522,7.414375,0.952969
zoom_out,IMG0002021.png,0.697281,0.535250,0.535250,1.000000,9.040617,0.940142
zoom_out,IMG0002180.png,0.911896,0.838060,0.916458,0.907380,7.615773,0.969206
zoom_out,IMG0002300.png,0.685879,0.521930,0.524559,0.990488,7.615773,0.921123
zoom_out,IMG0002305.png,0.769799,0.625750,0.662898,0.917808,8.494090,0.935612
zoom_out,IMG0002309.png,0.777256,0.635665,0.775070,0.779453,8.000000,0.918934
zoom_out,IMG0002320.png,0.730977,0.576016,0.730673,0.731281,11.421122,0.872178
zoom_out,IMG0002333.png,0.763006,0.616822,0.647059,0.929577,14.734133,0.876992
zoom_out,IMG0002345.png,0.654151,0.486051,0.591662,0.731399,16.576767,0.859483
zoom_out,IMG0002357.png,0.566709,0.395390,0.424762,0.851145,7.211103,0.874829
zoom_out,IMG0002363.png,0.835189,0.717017,0.741840,0.955414,5.099020,0.958928
zoom_out,IMG0002376.png,0.613430,0.442408,0.442408,1.000000,91.585966,0.000000
zoom_out,IMG0002381.png,0.707891,0.547857,0.569413,0.935366,10.295630,0.950874
zoom_out,IMG0002384.png,0.722616,0.565699,0.572796,0.978567,14.085281,0.971809
zoom_out,IMG0002402.png,0.640474,0.471101,0.491736,0.918210,18.609122,0.862469
zoom_out,IMG0002416.png,0.594937,0.423423,0.430403,0.963115,7.071068,0.874561
zoom_out,IMG0002426.png,0.720621,0.563258,0.567190,0.987842,7.081520,0.912437
zoom_out,IMG0002437.png,0.768428,0.623941,0.630621,0.983306,8.544004,0.901732
zoom_out,IMG0002451.png,0.524664,0.355623,0.357434,0.985955,12.529964,0.900905
zoom_out,IMG0002456.png,0.704225,0.543478,0.543478,1.000000,5.385165,0.960955
zoom_out,IMG0002460.png,0.740239,0.587603,0.587603,1.000000,7.810250,0.950077
zoom_out,IMG0002470.png,0.704449,0.543745,0.569837,0.922330,14.866069,0.865549
zoom_out,IMG0002475.png,0.575031,0.403540,0.482708,0.711022,31.801832,0.947372
zoom_out,IMG0002484.png,0.836820,0.719424,0.729262,0.981595,5.089118,0.963809
zoom_out,IMG0002494.png,0.547637,0.377066,0.377066,1.000000,10.604185,0.964346
zoom_out,IMG0002500.png,0.717731,0.559735,0.696970,0.739766,5.847857,0.855397
zoom_out,IMG0002501.png,0.748364,0.597909,0.612463,0.961774,8.544004,0.930367
zoom_out,IMG0002502.png,0.727090,0.571203,0.577600,0.980978,8.924259,0.900287
zoom_out,IMG0002508.png,0.736842,0.583333,0.586957,0.989529,5.000000,0.973069
zoom_out,IMG0002515.png,0.634229,0.464375,0.468106,0.983122,17.200880,0.978804
zoom_out,IMG0002517.png,0.739268,0.586380,0.617825,0.920135,13.830313,0.906125
zoom_out,IMG0002518.png,0.563791,0.392555,0.398397,0.963989,14.204848,0.936011
zoom_out,IMG0002519.png,0.625392,0.454960,0.499374,0.836478,18.260718,0.907619
zoom_out,IMG0002522.png,0.818235,0.692384,0.700268,0.984000,8.824191,0.992316
zoom_out,IMG0002523.png,0.644083,0.475016,0.484608,0.960000,16.124515,0.968249
zoom_out,IMG0002533.png,0.734177,0.580000,0.587838,0.977528,8.172630,0.932618
zoom_out,IMG0002568.png,0.829235,0.708285,0.831507,0.826975,3.605551,0.996489
zoom_out,IMG0002577.png,0.784675,0.645651,0.649442,0.991039,7.000000,0.994694
zoom_out,IMG0002579.png,0.787968,0.650122,0.653312,0.992547,8.773299,0.977720
zoom_out,IMG0002582.png,0.833152,0.714019,0.750491,0.936275,5.000000,0.969356
zoom_out,IMG0002584.png,0.772660,0.629540,0.648379,0.955882,7.071068,0.926996
zoom_out,IMG0002594.png,0.642127,0.472892,0.508091,0.872222,8.784165,0.826186
zoom_out,IMG0002595.png,0.637131,0.467492,0.490715,0.908076,18.216855,0.916878
zoom_out,IMG0002745.png,0.664717,0.497810,0.508955,0.957865,9.433981,0.976525
zoom_out,IMG0002934.png,0.816943,0.690535,0.692816,0.995255,5.385165,0.964780
zoom_out,IMG0003146.png,0.816172,0.689435,0.700926,0.976774,14.142136,0.946799
zoom_out,IMG0003147.png,0.793535,0.657736,0.663470,0.987030,11.538080,0.951343
zoom_out,IMG0003157.png,0.679376,0.514436,0.547486,0.894977,6.324555,0.861176
zoom_out,IMG0003218.png,0.798046,0.663957,0.665158,0.997286,7.769464,0.939127
zoom_out,IMG0003264.png,0.727911,0.572217,0.591817,0.945289,9.704048,0.936295
zoom_out,IMG0003309.png,0.557944,0.386909,0.427997,0.801205,17.492856,0.788040
zoom_out,IMG0003395.png,0.540401,0.370239,0.370239,1.000000,10.639471,0.948512
zoom_out,IMG0003458.png,0.768701,0.624301,0.677951,0.887500,11.180340,0.959247
